ko,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,contrast
DAG1,246,322,0.7304384708404541,0.6435530185699463,0.20010001957416534,0.1882989764213562,0.05070877820253372,False,False,Control+IFNγ
S100A6,159,249,1.0226129293441772,0.770186185836792,0.20614543557167053,0.29533631801605226,0.00772705590352416,False,False,Control+IFNγ
XAGE1A,100,160,1.2008998394012451,1.0814189910888672,0.20988228917121887,0.09309923276305199,0.2581114321947098,False,False,Control+IFNγ
NCL,46,74,1.6616512537002563,1.553452968597412,0.21006928384304047,0.021819403674453498,0.2064731687307358,False,False,Control+IFNγ
IFNGR2,215,385,0.9354559779167175,5.065486431121826,0.21473276615142822,0.3427198827266693,0.9750448226928711,False,False,Control+IFNγ
ISYNA1,163,214,0.9122531414031982,1.0691474676132202,0.2204451709985733,0.16420138031244277,0.3435050308704376,False,False,Control+IFNγ
BOLA2,171,293,0.8645870089530945,0.915221095085144,0.22112716734409332,0.04681360274553299,0.35319559574127196,False,False,Control+IFNγ
CST3,197,273,0.6985771656036377,0.8827230930328369,0.22695326805114746,0.03630999643355608,0.3355059683322906,False,False,Control+IFNγ
TP53,142,221,0.9600035548210144,1.058910608291626,0.22707882523536682,0.13246554248034953,0.32107570171356203,False,False,Control+IFNγ
UQCRFS1,80,111,1.2293674945831299,1.1674963235855103,0.23172949254512787,0.06497121453285218,0.029939975962042807,False,False,Control+IFNγ
TIMP2,116,189,1.1902152299880981,0.9626986384391785,0.2318124771118164,0.16106214225292206,0.1963530659675598,False,False,Control+IFNγ
SEC11C,184,252,1.02232825756073,0.8704804182052612,0.2322213351726532,0.2529484361410141,0.2457976073026657,False,False,Control+IFNγ
FMN1,273,421,0.9629135131835938,0.6123417615890503,0.23451784253120422,0.4803691267967224,0.14701553136110307,False,False,Control+IFNγ
UCN2,110,193,1.1307717561721802,0.9868738055229187,0.23771628737449646,0.121784857660532,0.1630260393023491,False,False,Control+IFNγ
PTMA,150,226,1.4975489377975464,1.306727647781372,0.24003693461418152,0.5767297148704529,0.5037348568439484,True,True,Control+IFNγ
CORO1A,266,372,0.6983867883682251,0.6867812871932983,0.243218332529068,0.12023804783821106,0.2115216702222824,False,False,Control+IFNγ
P2RX4,98,136,1.129386067390442,1.1596643924713135,0.2461467683315277,0.08043399006128311,0.19686389565467835,False,False,Control+IFNγ
PROS1,167,199,1.1362733840942383,0.8583133816719055,0.25027403235435486,0.3492892742156982,0.08763002343475819,False,False,Control+IFNγ
E2F1,167,257,0.9075180292129517,1.0866689682006836,0.254483163356781,0.16262548565864562,0.43127877116203306,False,False,Control+IFNγ
ACSL3,184,225,0.9336671829223633,1.1808054447174072,0.26090896129608154,0.21485536098480223,0.47802929282188417,False,False,Control+IFNγ
BOLA2B,203,269,0.8323270082473755,0.8379716873168945,0.2667536735534668,0.19457566887140273,0.24758421778678893,False,False,Control+IFNγ
PPIA,150,244,0.9127564430236816,0.8552767634391785,0.26987698674201965,-0.01674749469384551,0.22283218204975128,False,False,Control+IFNγ
EIF4A1,49,47,2.074326753616333,2.0079257488250732,0.270342081785202,0.25876241326332095,0.10742494612932205,False,False,Control+IFNγ
LEF1-AS1,214,358,1.061584234237671,0.7067285180091858,0.27150440216064453,0.4082242250442505,0.1259539272636175,False,False,Control+IFNγ
CDC123,88,136,1.1978111267089844,1.1386610269546509,0.27289822697639465,0.1263052836060524,0.18415218740701675,False,False,Control+IFNγ
WNT7A,150,267,1.068116545677185,0.78641676902771,0.27582135796546936,0.22843239903450013,0.07082433612085878,False,False,Control+IFNγ
LRRC75A-AS1,120,193,1.307308554649353,1.1400213241577148,0.2814282774925232,0.27117485404014585,0.37534894943237307,False,False,Control+IFNγ
DNMT1,84,140,1.4328495264053345,1.4090733528137207,0.28220605850219727,0.21302089393138884,0.38859316110610964,False,False,Control+IFNγ
CTSA,284,366,0.7020419836044312,0.809738039970398,0.2835544943809509,0.19758735597133636,0.31654167771339414,False,False,Control+IFNγ
TIMP3,122,185,1.10428786277771,0.9483741521835327,0.28628379106521606,0.22872486859560012,0.12879779208451508,False,False,Control+IFNγ
AGA,321,414,0.6938198804855347,0.8051949739456177,0.30065950751304626,0.22275733053684235,0.4250169098377228,False,False,Control+IFNγ
TIMM50,106,127,1.184346079826355,1.1229223012924194,0.3006696105003357,0.19105816185474395,0.14267460592091083,False,False,Control+IFNγ
PAICS,66,102,1.4304883480072021,1.528562307357788,0.3025040328502655,0.017578078527003528,0.3241169214248657,False,False,Control+IFNγ
IDI2-AS1,204,341,0.9655695557594299,0.874397337436676,0.3048025965690613,0.2834296107292175,0.43858208060264586,False,False,Control+IFNγ
GSEC,93,169,1.3578623533248901,1.1683270931243896,0.3063811659812927,0.21712015476077795,0.29810363352298735,False,False,Control+IFNγ
PSMB8-AS1,163,225,0.9927332401275635,0.9780468344688416,0.30693545937538147,0.18208589628338814,0.25570174157619474,False,False,Control+IFNγ
S100B,189,277,0.8771423697471619,0.8236428499221802,0.30901679396629333,0.1596853941679001,0.18637415170669555,False,False,Control+IFNγ
DDX39A,157,248,0.935352087020874,0.838410496711731,0.31148818135261536,0.15009443908929826,0.17704010158777236,False,False,Control+IFNγ
ST3GAL6-AS1,161,258,0.8957241773605347,1.0525412559509277,0.3148309290409088,0.06464456295980199,0.3965079069137573,False,False,Control+IFNγ
TSC22D3,182,239,0.9499980211257935,1.1783555746078491,0.31980499625205994,0.23655495941638946,0.4777688503265381,False,False,Control+IFNγ
LAMP2,227,308,0.8208572864532471,0.9778230786323547,0.3198125958442688,0.17479315964737907,0.395177161693573,False,False,Control+IFNγ
VDAC2,137,223,1.2237658500671387,0.8303706049919128,0.3213675618171692,0.3291504979133606,0.1243792288005352,False,False,Control+IFNγ
SLC7A5P1,144,260,0.9501352906227112,0.9296987652778625,0.32234829664230347,0.12592794597148896,0.36648824214935305,False,False,Control+IFNγ
LY96,190,319,0.9006332755088806,0.8767724633216858,0.32431599497795105,0.16016723662614823,0.30070136189460756,False,False,Control+IFNγ
TYR,141,265,0.982336699962616,0.8676584959030151,0.3276754915714264,0.14390475302934647,0.18611281737685204,False,False,Control+IFNγ
TRIM22,111,178,1.0768381357192993,0.928473174571991,0.33544376492500305,0.03409499973058701,0.08726187199354171,False,False,Control+IFNγ
GRN,194,333,1.0088682174682617,0.7269425988197327,0.33577781915664673,0.27617294490337374,0.18610848784446715,False,False,Control+IFNγ
NT5E,249,358,0.7714353799819946,0.9637295603752136,0.34029942750930786,0.19893665462732316,0.47482720017433167,False,False,Control+IFNγ
FOXM1,79,108,1.369285225868225,1.6236335039138794,0.34317347407341003,0.17356882840394974,0.4070901393890381,False,False,Control+IFNγ
A2M,376,519,0.6393944621086121,0.7857995629310608,0.3449185788631439,0.27512554824352264,0.4852949380874634,False,False,Control+IFNγ
ILF2,53,71,1.5590876340866089,1.560204029083252,0.3459542393684387,0.04245888628065586,0.09164135083556176,False,False,Control+IFNγ
LINC00518,201,336,0.7908921837806702,0.7915132641792297,0.34630101919174194,0.07590878214687109,0.2782120257616043,False,False,Control+IFNγ
SPINT1,162,228,0.9778775572776794,1.1115645170211792,0.3468426764011383,0.10277033671736717,0.37188558280467987,False,False,Control+IFNγ
RNF213,159,260,1.0142531394958496,0.9900373816490173,0.34864747524261475,0.23052524030208588,0.36540545225143434,False,False,Control+IFNγ
LCP1,215,360,1.005350947380066,0.8956393003463745,0.3577863872051239,0.35507947504520415,0.45187461376190186,False,False,Control+IFNγ
UBC,56,95,1.8660327196121216,1.484029769897461,0.3578881621360779,0.29648053646087646,0.2411349296569824,False,False,Control+IFNγ
SERPINF1,181,241,0.9944164752960205,0.8044609427452087,0.358692467212677,0.31110440790653227,0.11000219583511353,False,False,Control+IFNγ
CD151,282,367,0.8719819784164429,0.6639202237129211,0.36225399374961853,0.4240524411201477,0.13682678043842317,False,False,Control+IFNγ
JAK1,210,338,1.4051755666732788,4.81352424621582,0.362707257270813,0.593701183795929,0.9700710535049438,True,True,Control+IFNγ
NDUFA13,109,153,1.6167339086532593,1.0317246913909912,0.36460405588150024,0.49836052060127256,0.17080322802066802,False,False,Control+IFNγ
ITGA3,218,286,0.9853829145431519,0.9978588223457336,0.36678558588027954,0.37525973916053773,0.3723894000053406,False,False,Control+IFNγ
BZW2,281,366,0.7730391025543213,0.7698771357536316,0.36990487575531006,0.2459435373544693,0.2805892676115036,False,False,Control+IFNγ
SLC26A2,167,263,1.0189142227172852,1.0038855075836182,0.37178677320480347,0.20256121531128884,0.3652434289455414,False,False,Control+IFNγ
APOD,304,457,0.7167860865592957,0.7191968560218811,0.372297078371048,0.2891443192958832,0.2948360174894333,False,False,Control+IFNγ
PFN1,87,124,1.4837419986724854,1.5502368211746216,0.3726591169834137,0.25294013917446134,0.4579152524471283,False,False,Control+IFNγ
SERPINE2,143,226,1.1154531240463257,1.4284573793411255,0.37428081035614014,0.27862444818019866,0.5681505858898163,False,False,Control+IFNγ
RPSA,69,142,1.4143778085708618,1.2212119102478027,0.37819451093673706,0.18654224872589112,0.2616457760334015,False,False,Control+IFNγ
HASPIN,128,205,1.1029694080352783,0.934657096862793,0.3804054856300354,0.2354442372918129,0.21850149482488632,False,False,Control+IFNγ
TMEM173,150,216,1.1586018800735474,0.9395415186882019,0.38098588585853577,0.2210695743560791,0.20157913118600845,False,False,Control+IFNγ
STOM,164,275,1.0503675937652588,0.8954468965530396,0.38162165880203247,0.26426103711128235,0.3141933172941208,False,False,Control+IFNγ
HNRNPA1,177,243,1.0864802598953247,1.0072137117385864,0.3831063508987427,0.3033316135406494,0.3188841134309769,False,False,Control+IFNγ
STX7,147,247,0.9837465882301331,1.0927201509475708,0.38360655307769775,0.05542889162898064,0.40028282403945925,False,False,Control+IFNγ
EVA1A,217,312,0.8476830124855042,0.7877137660980225,0.3852502405643463,0.13925123512744902,0.238437157869339,False,False,Control+IFNγ
FSTL3,278,416,0.8082455396652222,0.7146335244178772,0.3875764310359955,0.27857206761837006,0.2891176909208298,False,False,Control+IFNγ
MYC,40,68,2.01240611076355,2.414963722229004,0.39214909076690674,0.19925839304924012,0.5733420610427856,False,False,Control+IFNγ
NEAT1,145,256,1.1302119493484497,0.9717086553573608,0.3923231363296509,0.30154613852500917,0.33363587260246275,False,False,Control+IFNγ
FRZB,194,254,0.7636045813560486,0.8624094724655151,0.39533731341362,0.07844211689662188,0.1730723649263382,False,False,Control+IFNγ
KDR,200,347,0.8757800459861755,0.8402511477470398,0.395512193441391,0.21908917725086213,0.27434306442737577,False,False,Control+IFNγ
LGALS3,186,263,0.8649606108665466,0.9798600673675537,0.3955515921115875,0.1774714097380638,0.3346822261810303,False,False,Control+IFNγ
TOP1MT,146,201,1.1572753190994263,1.0140068531036377,0.39704257249832153,0.26751806139945983,0.2426958352327347,False,False,Control+IFNγ
EEF1G,47,88,1.8282301425933838,1.6990336179733276,0.40536701679229736,0.2405093640089035,0.325341796875,False,False,Control+IFNγ
SLC5A3,178,271,1.0822467803955078,0.7503756284713745,0.40665313601493835,0.32861135601997377,0.050016825646162034,False,False,Control+IFNγ
CD47,302,425,0.7188581824302673,0.8286727070808411,0.40885040163993835,0.19759257156401872,0.3706174254417419,False,False,Control+IFNγ
FKBP4,192,282,1.0031148195266724,0.7957230806350708,0.41151461005210876,0.31236288249492644,0.17651378214359284,False,False,Control+IFNγ
DLL3,247,371,0.9796148538589478,0.8009477257728577,0.41194435954093933,0.44290698170661924,0.34429391026496886,False,False,Control+IFNγ
VAT1,117,154,1.2801125049591064,0.9603962898254395,0.413606733083725,0.3050607770681381,0.09384494796395301,False,False,Control+IFNγ
PET100,88,146,1.3369005918502808,1.0914710760116577,0.4136315882205963,0.215694360435009,0.16128621399402618,False,False,Control+IFNγ
CXCR4,204,337,1.1490193605422974,0.752993106842041,0.41365310549736023,0.49751784205436705,0.2588591992855072,False,False,Control+IFNγ
MDH2,165,220,1.1942355632781982,0.9663079380989075,0.4141336977481842,0.39565088152885436,0.2194175750017166,False,False,Control+IFNγ
CSPG4,329,465,0.7762141823768616,0.6790940165519714,0.4173135757446289,0.4041844367980957,0.2469201922416687,False,False,Control+IFNγ
NSG1,187,292,0.8585665225982666,0.8447055220603943,0.4207092523574829,0.21414247751235962,0.28125873804092405,False,False,Control+IFNγ
KLF4,200,289,1.1216793060302734,0.9114660024642944,0.4226629436016083,0.4124722570180893,0.3147883415222168,False,False,Control+IFNγ
GPATCH4,156,260,0.9961531162261963,0.972158670425415,0.42341339588165283,0.26005731225013734,0.2708209291100502,False,False,Control+IFNγ
GPI,48,60,1.7567673921585083,2.2156107425689697,0.4264753460884094,0.2528041869401932,0.48433605432510374,False,False,Control+IFNγ
CMSS1,258,399,0.9070616960525513,0.8316769003868103,0.4310908615589142,0.36593623757362365,0.3678746700286865,False,False,Control+IFNγ
RTP4,209,332,0.9591541886329651,0.8400557637214661,0.4337511360645294,0.2779370605945587,0.34157609939575195,False,False,Control+IFNγ
CD44,340,434,0.7395362854003906,0.7987883687019348,0.4338749647140503,0.21322883665561676,0.4321024715900421,False,False,Control+IFNγ
IRF4,174,282,0.9544742703437805,0.8236839771270752,0.4338870942592621,0.26640217304229735,0.1593966856598854,False,False,Control+IFNγ
RAB27A,163,268,0.916778564453125,0.936964213848114,0.43461844325065613,0.17662350535392762,0.3040782868862152,False,False,Control+IFNγ
WBP2,125,255,0.9938234686851501,1.0649538040161133,0.4361323118209839,0.042187681794166564,0.4007901310920715,False,False,Control+IFNγ
SPESP1,169,247,1.0376871824264526,0.8970167636871338,0.43837445974349976,0.2366904854774475,0.16431943476200103,False,False,Control+IFNγ
SHMT2,129,203,1.0727639198303223,1.0831412076950073,0.4383758306503296,0.1616394653916359,0.3079879701137543,False,False,Control+IFNγ
SGK1,134,262,1.1893776655197144,0.9642192721366882,0.4395613670349121,0.27438928186893463,0.3522181689739227,False,False,Control+IFNγ
CHCHD2,255,422,0.9372735619544983,0.7108793258666992,0.440959095954895,0.3612961173057556,0.2880005329847336,False,False,Control+IFNγ
SCARB2,181,251,1.1898266077041626,1.0343716144561768,0.4416840374469757,0.3874905347824097,0.39330235719680784,False,False,Control+IFNγ
C6orf226,274,410,0.94762122631073,0.7464964985847473,0.4421294927597046,0.4920797228813171,0.27331543564796446,False,False,Control+IFNγ
CGAS,195,307,1.0312012434005737,1.1427867412567139,0.4437415599822998,0.27566657960414886,0.5086255669593811,False,False,Control+IFNγ
TFAP2A,135,242,1.2909187078475952,1.1028307676315308,0.4479602575302124,0.3233751028776169,0.4258700549602509,False,False,Control+IFNγ
NPC2,171,286,1.104333519935608,0.8851698040962219,0.4482198655605316,0.3614872395992279,0.26046025156974795,False,False,Control+IFNγ
LRPAP1,176,334,1.011709451675415,0.8726166486740112,0.4494745433330536,0.290805447101593,0.3253170341253281,False,False,Control+IFNγ
HLA-B,145,223,1.2525370121002197,1.117409586906433,0.45210933685302734,0.37780184149742124,0.31516885161399844,False,False,Control+IFNγ
C19orf48,304,447,0.6969374418258667,1.0805175304412842,0.4525521993637085,0.16518190056085585,0.64927659034729,False,False,Control+IFNγ
DDR1,212,376,0.9962987899780273,0.8648615479469299,0.4536718726158142,0.330106520652771,0.35603016018867495,False,False,Control+IFNγ
CYP27A1,280,354,0.8489043712615967,0.7779620885848999,0.45416176319122314,0.32101483941078185,0.27546675503253937,False,False,Control+IFNγ
GSN,276,359,1.002851128578186,0.6790361404418945,0.45582884550094604,0.4598981261253357,0.1799245297908783,False,False,Control+IFNγ
SP100,149,232,1.1617610454559326,0.95655757188797,0.4654996693134308,0.34219664335250854,0.23153113275766374,False,False,Control+IFNγ
SOX4,188,262,0.919856071472168,1.1166496276855469,0.4656067192554474,0.13581482842564582,0.48290290832519533,False,False,Control+IFNγ
KCNN4,192,356,0.9656840562820435,0.824693500995636,0.46597203612327576,0.27004644870758054,0.2845326542854309,False,False,Control+IFNγ
FOS,219,280,0.8738631010055542,0.8537867665290833,0.4673897624015808,0.24836235940456391,0.27416432797908785,False,False,Control+IFNγ
TTLL1,175,265,1.063807725906372,1.0859546661376953,0.471247136592865,0.29084032475948335,0.39184733629226687,False,False,Control+IFNγ
CD274,339,511,0.8038914799690247,0.6231706142425537,0.47578081488609314,0.35407347679138185,0.2175127387046814,False,False,Control+IFNγ
MIA,167,310,1.2457350492477417,0.8857026696205139,0.47818878293037415,0.47015116810798646,0.3091092884540558,False,False,Control+IFNγ
SLC22A18,209,355,0.9767136573791504,1.0219457149505615,0.4782816469669342,0.271565255522728,0.5542550504207611,False,False,Control+IFNγ
CTSB,282,433,0.7735665440559387,0.8510851860046387,0.47911351919174194,0.2667385369539261,0.4733617126941681,False,False,Control+IFNγ
CTSO,301,422,0.8197548389434814,0.8671934008598328,0.4799303114414215,0.34307329058647157,0.4826796531677246,False,False,Control+IFNγ
SINHCAF,103,173,1.4796017408370972,1.2622437477111816,0.4803216755390167,0.33264693021774294,0.39735684394836424,False,False,Control+IFNγ
NUP50-AS1,153,273,1.11226487159729,1.020430564880371,0.4864749610424042,0.3039596855640411,0.3396461308002472,False,False,Control+IFNγ
GPNMB,209,306,1.0519952774047852,0.8468770384788513,0.4878818392753601,0.4354962229728699,0.3058348834514618,False,False,Control+IFNγ
RBP7,164,300,1.105211853981018,1.0053434371948242,0.4930811822414398,0.3440203607082367,0.43971929550170896,False,False,Control+IFNγ
TGFB1,182,263,1.0899077653884888,1.00919508934021,0.4932089149951935,0.34134714007377626,0.3972559094429016,False,False,Control+IFNγ
CKS1B,264,409,0.8135179877281189,0.80894535779953,0.49398285150527954,0.27101351618766784,0.4068431258201599,False,False,Control+IFNγ
IDH2,254,355,0.8576509356498718,0.7993494868278503,0.49592846632003784,0.2787612974643707,0.34351314306259156,False,False,Control+IFNγ
PFDN4,214,284,1.0684255361557007,0.767111599445343,0.49672749638557434,0.44782389998435973,0.1882588028907776,False,False,Control+IFNγ
CDKN2A,224,394,0.9267043471336365,0.7165216207504272,0.49694299697875977,0.37965112626552583,0.28735836446285246,False,False,Control+IFNγ
HLA-H,221,336,1.0055023431777954,0.9615423083305359,0.49823111295700073,0.3920076310634613,0.45539305806159974,False,False,Control+IFNγ
ENPP1,219,351,1.1557846069335938,0.830787718296051,0.49986064434051514,0.46079752445220945,0.36498563289642333,False,False,Control+IFNγ
SAT1,175,218,0.9811757802963257,1.1648633480072021,0.5003038644790649,0.23381035923957824,0.44513118267059326,False,False,Control+IFNγ
EEA1,185,296,0.9602309465408325,1.205824851989746,0.5009974837303162,0.2750975161790848,0.5898676037788391,False,False,Control+IFNγ
TAPBP,141,220,1.4285740852355957,1.1024112701416016,0.5046151280403137,0.42253537774086,0.3697687327861786,False,False,Control+IFNγ
PIK3IP1,158,229,1.091003179550171,1.5125398635864258,0.506070077419281,0.26463202238082884,0.6278545141220093,False,False,Control+IFNγ
TM4SF1,158,223,1.0672224760055542,1.0995466709136963,0.5064268708229065,0.23825218826532363,0.40165897607803347,False,False,Control+IFNγ
NONO,166,231,1.1709667444229126,1.0946826934814453,0.5078901052474976,0.42933491468429563,0.39537795782089236,False,False,Control+IFNγ
ARMC6,250,376,0.9067012667655945,0.8779003024101257,0.5082792639732361,0.3070872575044632,0.4509193241596222,False,False,Control+IFNγ
SDCBP,181,259,1.1250951290130615,1.0422992706298828,0.5082986354827881,0.3321479395031929,0.40563952922821045,False,False,Control+IFNγ
JMJD7,204,363,0.9119294285774231,0.8426341414451599,0.5090456008911133,0.19004841148853302,0.38321523666381835,False,False,Control+IFNγ
MFGE8,236,424,0.9580596089363098,0.7402616143226624,0.5131882429122925,0.34956260323524474,0.28236702978610995,False,False,Control+IFNγ
PABPC1,57,84,1.7529025077819824,1.784880518913269,0.5140910148620605,0.2633877396583557,0.3039049953222275,False,False,Control+IFNγ
APOC2,323,465,0.7880196571350098,0.7847623229026794,0.5144040584564209,0.3501722812652588,0.4447624683380127,False,False,Control+IFNγ
AHNAK,321,428,0.8311895728111267,0.7478339672088623,0.516811728477478,0.3199131190776825,0.3082648262381554,False,False,Control+IFNγ
HSPA1A,201,287,1.159416913986206,1.011889934539795,0.5228298306465149,0.4513974666595459,0.46290297508239747,False,False,Control+IFNγ
HLA-E,205,292,1.174107551574707,1.3674030303955078,0.5250675678253174,0.4979231238365173,0.6363874554634095,False,False,Control+IFNγ
SLC25A13,136,269,1.3722875118255615,0.8272442817687988,0.5253180265426636,0.45998814702033997,0.24901321828365325,False,False,Control+IFNγ
SLIRP,131,169,1.6727125644683838,1.429813027381897,0.5334330201148987,0.5265281438827515,0.46534563302993776,False,False,Control+IFNγ
CITED1,341,418,1.0222657918930054,0.7188364863395691,0.5343316793441772,0.5827580213546752,0.3265599548816681,False,False,Control+IFNγ
IRF3,198,317,0.982082724571228,0.9494574069976807,0.5350341200828552,0.373334538936615,0.437834757566452,False,False,Control+IFNγ
NMRK1,210,290,1.2263576984405518,0.8934524655342102,0.5351569056510925,0.5431113541126251,0.36662904024124143,False,False,Control+IFNγ
CD59,320,515,0.7774677872657776,0.7387529611587524,0.5372598171234131,0.3601354479789734,0.3998888373374939,False,False,Control+IFNγ
GAS5,211,347,1.0277680158615112,0.8335511684417725,0.5406140089035034,0.32613485455513,0.3777254939079285,False,False,Control+IFNγ
ATP5MD,151,246,1.1333156824111938,1.1163437366485596,0.5451763272285461,0.29388915598392484,0.3727396160364151,False,False,Control+IFNγ
CCND2,279,405,0.835719108581543,0.7555792331695557,0.5491968393325806,0.4088542699813843,0.3530440032482147,False,False,Control+IFNγ
CD58,289,412,0.9664720296859741,0.8930731415748596,0.5516484975814819,0.48727182745933534,0.46307064294815065,False,False,Control+IFNγ
TAPBPL,154,245,1.2944915294647217,1.157610297203064,0.553631067276001,0.4625798463821411,0.46015753746032717,False,False,Control+IFNγ
SMAD3,176,271,1.2590389251708984,1.0628000497817993,0.559456467628479,0.475974041223526,0.416968959569931,False,False,Control+IFNγ
CDH19,335,460,0.7515485882759094,0.8446752429008484,0.5597728490829468,0.3490339875221252,0.4529867708683014,False,False,Control+IFNγ
SSR2,109,194,1.5203200578689575,1.2323479652404785,0.5620089173316956,0.4180843412876129,0.4511063814163208,False,False,Control+IFNγ
CCR10,266,394,0.8344693779945374,0.8075632452964783,0.5646178126335144,0.30709584057331085,0.32798423767089846,False,False,Control+IFNγ
GAA,231,336,0.8797776103019714,1.0203397274017334,0.5701991319656372,0.25949701070785525,0.49487810730934145,False,False,Control+IFNγ
HLA-C,163,257,1.1767255067825317,1.4937907457351685,0.5711169838905334,0.27505014538764955,0.672255563735962,False,False,Control+IFNγ
FGFR1,320,467,0.710989236831665,0.7695885896682739,0.5793217420578003,0.27458169460296633,0.4151613891124725,False,False,Control+IFNγ
HLA-A,256,387,0.9511497020721436,0.860620379447937,0.5865045785903931,0.4246312081813812,0.42146652936935425,False,False,Control+IFNγ
MC1R,196,291,1.1515226364135742,1.0090148448944092,0.5891361832618713,0.40787293016910553,0.4004886507987976,False,False,Control+IFNγ
ATP1B1,344,447,0.9915017485618591,0.799118161201477,0.5910453796386719,0.5518694400787354,0.40160865187644956,False,False,Control+IFNγ
C1QBP,178,301,1.5229815244674683,1.2635231018066406,0.5944732427597046,0.6066369414329529,0.6298845887184144,True,True,Control+IFNγ
STAT3,135,213,1.576676607131958,1.6690934896469116,0.5988274812698364,0.4892785131931305,0.6433303594589234,False,False,Control+IFNγ
TPRKB,48,50,2.3186721801757812,2.3068580627441406,0.5995779037475586,0.41214329600334165,0.3976966977119446,False,False,Control+IFNγ
SET,123,196,1.309396743774414,1.3276625871658325,0.6036543846130371,0.3477509081363678,0.5177067041397094,False,False,Control+IFNγ
CTSL,270,355,1.0497791767120361,1.2563228607177734,0.6050959229469299,0.5203336596488952,0.6355265974998474,True,True,Control+IFNγ
DDX17,222,307,1.1286388635635376,1.019392728805542,0.6084213256835938,0.4862732768058777,0.4974268853664398,False,False,Control+IFNγ
CTPS1,115,189,1.4692648649215698,1.5267754793167114,0.6088643074035645,0.3402042806148529,0.5555659174919129,False,False,Control+IFNγ
CDK6,112,196,1.6448396444320679,1.4286832809448242,0.6093496680259705,0.4797051608562469,0.5292811691761017,False,False,Control+IFNγ
FBXO32,251,396,0.974197268486023,0.9094609618186951,0.6122486591339111,0.45543822050094607,0.4685985028743744,False,False,Control+IFNγ
ACTA2,408,602,0.7770570516586304,0.7139801979064941,0.614989697933197,0.42716490030288695,0.4680094063282013,False,False,Control+IFNγ
APOE,318,455,0.7199728488922119,0.9762393236160278,0.6179112195968628,0.2384753257036209,0.622456169128418,False,False,Control+IFNγ
