split_type,cell_line,heldout_drug,observed_library_fraction,information_condition_mode,seed
leave_drug_out,A549,Cimetidine,1.0,observed,2
leave_drug_out,A549,Cimetidine,1.0,observed,4
leave_drug_out,A549,Clevudine,1.0,observed,0
leave_drug_out,A549,Costunolide,1.0,observed,0
leave_drug_out,A549,Curcumin,1.0,observed,1
leave_drug_out,A549,Dacinostat (LAQ824),1.0,observed,2
leave_drug_out,A549,Dacinostat (LAQ824),1.0,observed,3
leave_drug_out,A549,Danusertib (PHA-739358),1.0,observed,2
leave_drug_out,A549,Danusertib (PHA-739358),1.0,observed,3
leave_drug_out,A549,Daphnetin,1.0,observed,1
leave_drug_out,A549,Decitabine,1.0,observed,0
leave_drug_out,A549,Decitabine,1.0,observed,3
leave_drug_out,A549,Divalproex Sodium,1.0,observed,1
leave_drug_out,A549,Divalproex Sodium,1.0,observed,4
leave_drug_out,A549,Droxinostat,1.0,observed,3
leave_drug_out,A549,ENMD-2076,1.0,observed,4
leave_drug_out,A549,Entacapone,1.0,observed,2
leave_drug_out,A549,Epothilone A,1.0,observed,3
leave_drug_out,A549,Epothilone A,1.0,observed,4
leave_drug_out,A549,FLLL32,1.0,observed,1
leave_drug_out,A549,Fasudil (HA-1077) HCl,1.0,observed,0
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,observed,2
leave_drug_out,A549,"Fedratinib (SAR302503, TG101348)",1.0,observed,3
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,observed,1
leave_drug_out,A549,Filgotinib (GLPG0634),1.0,observed,2
leave_drug_out,A549,Flavopiridol HCl,1.0,observed,4
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,observed,2
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,observed,3
leave_drug_out,A549,G007-LK,1.0,observed,1
leave_drug_out,A549,G007-LK,1.0,observed,3
leave_drug_out,A549,G007-LK,1.0,observed,4
leave_drug_out,A549,GSK J1,1.0,observed,2
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,observed,1
leave_drug_out,A549,GSK-LSD1 2HCl,1.0,observed,3
leave_drug_out,A549,GSK1070916,1.0,observed,0
leave_drug_out,A549,GSK1070916,1.0,observed,3
leave_drug_out,A549,GSK1070916,1.0,observed,4
leave_drug_out,A549,Givinostat (ITF2357),1.0,observed,0
leave_drug_out,A549,Givinostat (ITF2357),1.0,observed,1
leave_drug_out,A549,Hesperadin,1.0,observed,0
leave_drug_out,A549,Hesperadin,1.0,observed,1
leave_drug_out,A549,INO-1001 (3-Aminobenzamide),1.0,observed,4
leave_drug_out,A549,Ivosidenib (AG-120),1.0,observed,4
leave_drug_out,A549,JNJ-7706621,1.0,observed,3
leave_drug_out,A549,KW-2449,1.0,observed,0
leave_drug_out,A549,Ki16425,1.0,observed,0
leave_drug_out,A549,Ki16425,1.0,observed,3
leave_drug_out,A549,Ki8751,1.0,observed,1
leave_drug_out,A549,Ki8751,1.0,observed,4
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,observed,1
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,1.0,observed,2
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,observed,0
leave_drug_out,A549,Lenalidomide (CC-5013),1.0,observed,1
leave_drug_out,A549,Linifanib (ABT-869),1.0,observed,2
leave_drug_out,A549,Linifanib (ABT-869),1.0,observed,4
leave_drug_out,A549,Lomustine,1.0,observed,0
leave_drug_out,A549,Lomustine,1.0,observed,2
leave_drug_out,A549,Lomustine,1.0,observed,4
leave_drug_out,A549,M344,1.0,observed,0
leave_drug_out,A549,MC1568,1.0,observed,0
leave_drug_out,A549,MK-0752,1.0,observed,0
leave_drug_out,A549,MK-5108 (VX-689),1.0,observed,3
leave_drug_out,A549,MK-5108 (VX-689),1.0,observed,4
leave_drug_out,A549,Meprednisone,1.0,observed,0
leave_drug_out,A549,Meprednisone,1.0,observed,3
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,observed,0
leave_drug_out,A549,Mercaptopurine (6-MP),1.0,observed,4
leave_drug_out,A549,Mocetinostat (MGCD0103),1.0,observed,1
leave_drug_out,A549,Motesanib Diphosphate (AMG-706),1.0,observed,4
leave_drug_out,A549,NVP-BSK805 2HCl,1.0,observed,4
leave_drug_out,A549,Navitoclax (ABT-263),1.0,observed,2
leave_drug_out,A549,Nilotinib (AMN-107),1.0,observed,4
leave_drug_out,A549,Obatoclax Mesylate (GX15-070),1.0,observed,2
leave_drug_out,A549,Ofloxacin,1.0,observed,0
leave_drug_out,A549,Ofloxacin,1.0,observed,1
leave_drug_out,A549,Ofloxacin,1.0,observed,3
leave_drug_out,A549,Ofloxacin,1.0,observed,4
leave_drug_out,A549,PD173074,1.0,observed,2
leave_drug_out,A549,PD173074,1.0,observed,3
leave_drug_out,A549,PD98059,1.0,observed,2
leave_drug_out,A549,PF-3845,1.0,observed,2
leave_drug_out,A549,PF-573228,1.0,observed,0
leave_drug_out,A549,PF-573228,1.0,observed,3
leave_drug_out,A549,PFI-1 (PF-6405761),1.0,observed,3
leave_drug_out,A549,PHA-680632,1.0,observed,3
leave_drug_out,A549,Panobinostat (LBH589),1.0,observed,3
leave_drug_out,A549,"Patupilone (EPO906, Epothilone B)",1.0,observed,2
leave_drug_out,A549,Pelitinib (EKB-569),1.0,observed,2
leave_drug_out,A549,Pirarubicin,1.0,observed,0
leave_drug_out,A549,Pracinostat (SB939),1.0,observed,1
leave_drug_out,A549,Prednisone,1.0,observed,0
leave_drug_out,A549,Prednisone,1.0,observed,1
leave_drug_out,A549,Quercetin,1.0,observed,0
leave_drug_out,A549,Quercetin,1.0,observed,2
leave_drug_out,A549,Quercetin,1.0,observed,3
leave_drug_out,A549,Quercetin,1.0,observed,4
leave_drug_out,A549,RG108,1.0,observed,3
leave_drug_out,A549,Raltitrexed,1.0,observed,4
leave_drug_out,A549,Ramelteon,1.0,observed,4
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,observed,1
leave_drug_out,A549,Regorafenib (BAY 73-4506),1.0,observed,3
leave_drug_out,A549,Resminostat,1.0,observed,0
leave_drug_out,A549,Resminostat,1.0,observed,3
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,observed,0
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,observed,1
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",1.0,observed,4
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,observed,1
leave_drug_out,A549,Ruxolitinib (INCB018424),1.0,observed,4
leave_drug_out,A549,S-Ruxolitinib (INCB018424),1.0,observed,3
leave_drug_out,A549,S3I-201,1.0,observed,1
leave_drug_out,A549,S3I-201,1.0,observed,2
leave_drug_out,A549,S3I-201,1.0,observed,4
leave_drug_out,A549,SB431542,1.0,observed,1
leave_drug_out,A549,SB431542,1.0,observed,4
leave_drug_out,A549,SL-327,1.0,observed,0
leave_drug_out,A549,SL-327,1.0,observed,1
leave_drug_out,A549,SNS-314,1.0,observed,1
leave_drug_out,A549,SRT2104 (GSK2245840),1.0,observed,0
leave_drug_out,A549,SRT3025 HCl,1.0,observed,4
leave_drug_out,A549,Selisistat (EX 527),1.0,observed,0
leave_drug_out,A549,Selisistat (EX 527),1.0,observed,3
leave_drug_out,A549,Sirtinol,1.0,observed,3
leave_drug_out,A549,Sodium Phenylbutyrate,1.0,observed,4
leave_drug_out,A549,Sorafenib Tosylate,1.0,observed,4
leave_drug_out,A549,Streptozotocin (STZ),1.0,observed,4
leave_drug_out,A549,TG101209,1.0,observed,0
leave_drug_out,A549,TGX-221,1.0,observed,0
leave_drug_out,A549,TGX-221,1.0,observed,2
leave_drug_out,A549,TMP195,1.0,observed,2
leave_drug_out,A549,Tazemetostat (EPZ-6438),1.0,observed,3
leave_drug_out,A549,"Temsirolimus (CCI-779, NSC 683864)",1.0,observed,1
leave_drug_out,A549,Thiotepa,1.0,observed,2
leave_drug_out,A549,Tie2 kinase inhibitor,1.0,observed,4
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,observed,1
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,1.0,observed,2
leave_drug_out,A549,"Tozasertib (VX-680, MK-0457)",1.0,observed,2
leave_drug_out,A549,Trametinib (GSK1120212),1.0,observed,4
leave_drug_out,A549,Triamcinolone Acetonide,1.0,observed,2
leave_drug_out,A549,Triamcinolone Acetonide,1.0,observed,3
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,observed,1
leave_drug_out,A549,Tucidinostat (Chidamide),1.0,observed,4
leave_drug_out,A549,UNC0379,1.0,observed,1
leave_drug_out,A549,UNC0379,1.0,observed,2
leave_drug_out,A549,UNC0379,1.0,observed,4
leave_drug_out,A549,UNC0631,1.0,observed,2
leave_drug_out,A549,UNC1999,1.0,observed,1
leave_drug_out,A549,UNC1999,1.0,observed,2
leave_drug_out,A549,Veliparib (ABT-888),1.0,observed,0
leave_drug_out,A549,WHI-P154,1.0,observed,1
leave_drug_out,A549,WP1066,1.0,observed,2
leave_drug_out,A549,WP1066,1.0,observed,4
leave_drug_out,A549,XAV-939,1.0,observed,3
leave_drug_out,A549,Zileuton,1.0,observed,1
leave_drug_out,K562,(+)-JQ1,1.0,observed,0
leave_drug_out,K562,A-366,1.0,observed,0
leave_drug_out,K562,AC480 (BMS-599626),1.0,observed,0
leave_drug_out,K562,AC480 (BMS-599626),1.0,observed,1
leave_drug_out,K562,AG-14361,1.0,observed,0
leave_drug_out,K562,AG-14361,1.0,observed,1
leave_drug_out,K562,AG-14361,1.0,observed,3
leave_drug_out,K562,AG-490 (Tyrphostin B42),1.0,observed,0
leave_drug_out,K562,AG-490 (Tyrphostin B42),1.0,observed,3
leave_drug_out,K562,AICAR (Acadesine),1.0,observed,2
leave_drug_out,K562,AR-42,1.0,observed,2
leave_drug_out,K562,AT9283,1.0,observed,4
leave_drug_out,K562,AZ 960,1.0,observed,0
leave_drug_out,K562,AZD1480,1.0,observed,3
leave_drug_out,K562,AZD1480,1.0,observed,4
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,observed,0
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,observed,1
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,observed,2
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,observed,3
leave_drug_out,K562,Altretamine,1.0,observed,0
leave_drug_out,K562,Altretamine,1.0,observed,2
leave_drug_out,K562,Amisulpride,1.0,observed,3
leave_drug_out,K562,Andarine,1.0,observed,1
leave_drug_out,K562,Aurora A Inhibitor I,1.0,observed,1
leave_drug_out,K562,Azacitidine,1.0,observed,1
leave_drug_out,K562,Azacitidine,1.0,observed,4
leave_drug_out,K562,BMS-265246,1.0,observed,2
leave_drug_out,K562,BMS-536924,1.0,observed,3
leave_drug_out,K562,BMS-754807,1.0,observed,0
leave_drug_out,K562,BMS-754807,1.0,observed,3
leave_drug_out,K562,BMS-911543,1.0,observed,4
leave_drug_out,K562,Barasertib (AZD1152-HQPA),1.0,observed,2
leave_drug_out,K562,Barasertib (AZD1152-HQPA),1.0,observed,3
leave_drug_out,K562,"Baricitinib (LY3009104, INCB028050)",1.0,observed,0
leave_drug_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,2
leave_drug_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,4
leave_drug_out,K562,Busulfan,1.0,observed,2
leave_drug_out,K562,Busulfan,1.0,observed,3
leave_drug_out,K562,CEP-33779,1.0,observed,4
leave_drug_out,K562,CUDC-101,1.0,observed,1
leave_drug_out,K562,CYC116,1.0,observed,1
leave_drug_out,K562,CYC116,1.0,observed,2
leave_drug_out,K562,Carmofur,1.0,observed,0
leave_drug_out,K562,Carmofur,1.0,observed,1
leave_drug_out,K562,Celecoxib,1.0,observed,1
leave_drug_out,K562,Celecoxib,1.0,observed,3
leave_drug_out,K562,"Cerdulatinib (PRT062070, PRT2070)",1.0,observed,2
leave_drug_out,K562,Cimetidine,1.0,observed,2
leave_drug_out,K562,Cimetidine,1.0,observed,4
leave_drug_out,K562,Clevudine,1.0,observed,0
leave_drug_out,K562,Costunolide,1.0,observed,0
leave_drug_out,K562,Curcumin,1.0,observed,1
leave_drug_out,K562,Dacinostat (LAQ824),1.0,observed,2
leave_drug_out,K562,Dacinostat (LAQ824),1.0,observed,3
leave_drug_out,K562,Danusertib (PHA-739358),1.0,observed,2
leave_drug_out,K562,Danusertib (PHA-739358),1.0,observed,3
leave_drug_out,K562,Daphnetin,1.0,observed,1
leave_drug_out,K562,Decitabine,1.0,observed,0
leave_drug_out,K562,Decitabine,1.0,observed,3
leave_drug_out,K562,Divalproex Sodium,1.0,observed,1
leave_drug_out,K562,Divalproex Sodium,1.0,observed,4
leave_drug_out,K562,Droxinostat,1.0,observed,3
leave_drug_out,K562,ENMD-2076,1.0,observed,4
leave_drug_out,K562,Entacapone,1.0,observed,2
leave_drug_out,K562,Epothilone A,1.0,observed,3
leave_drug_out,K562,Epothilone A,1.0,observed,4
leave_drug_out,K562,FLLL32,1.0,observed,1
leave_drug_out,K562,Fasudil (HA-1077) HCl,1.0,observed,0
leave_drug_out,K562,"Fedratinib (SAR302503, TG101348)",1.0,observed,2
leave_drug_out,K562,"Fedratinib (SAR302503, TG101348)",1.0,observed,3
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,observed,1
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,observed,2
leave_drug_out,K562,Flavopiridol HCl,1.0,observed,4
leave_drug_out,K562,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,observed,2
leave_drug_out,K562,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,observed,3
leave_drug_out,K562,G007-LK,1.0,observed,1
leave_drug_out,K562,G007-LK,1.0,observed,3
leave_drug_out,K562,G007-LK,1.0,observed,4
leave_drug_out,K562,GSK J1,1.0,observed,2
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,observed,1
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,observed,3
leave_drug_out,K562,GSK1070916,1.0,observed,0
leave_drug_out,K562,GSK1070916,1.0,observed,3
leave_drug_out,K562,GSK1070916,1.0,observed,4
leave_drug_out,K562,Givinostat (ITF2357),1.0,observed,0
leave_drug_out,K562,Givinostat (ITF2357),1.0,observed,1
leave_drug_out,K562,Hesperadin,1.0,observed,0
leave_drug_out,K562,Hesperadin,1.0,observed,1
leave_drug_out,K562,INO-1001 (3-Aminobenzamide),1.0,observed,4
leave_drug_out,K562,Ivosidenib (AG-120),1.0,observed,4
leave_drug_out,K562,JNJ-7706621,1.0,observed,3
leave_drug_out,K562,KW-2449,1.0,observed,0
leave_drug_out,K562,Ki16425,1.0,observed,0
leave_drug_out,K562,Ki16425,1.0,observed,3
leave_drug_out,K562,Ki8751,1.0,observed,1
leave_drug_out,K562,Ki8751,1.0,observed,4
leave_drug_out,K562,Lapatinib (GW-572016) Ditosylate,1.0,observed,1
leave_drug_out,K562,Lapatinib (GW-572016) Ditosylate,1.0,observed,2
leave_drug_out,K562,Lenalidomide (CC-5013),1.0,observed,0
leave_drug_out,K562,Lenalidomide (CC-5013),1.0,observed,1
leave_drug_out,K562,Linifanib (ABT-869),1.0,observed,2
leave_drug_out,K562,Linifanib (ABT-869),1.0,observed,4
leave_drug_out,K562,Lomustine,1.0,observed,0
leave_drug_out,K562,Lomustine,1.0,observed,2
leave_drug_out,K562,Lomustine,1.0,observed,4
leave_drug_out,K562,M344,1.0,observed,0
leave_drug_out,K562,MC1568,1.0,observed,0
leave_drug_out,K562,MK-0752,1.0,observed,0
leave_drug_out,K562,MK-5108 (VX-689),1.0,observed,3
leave_drug_out,K562,MK-5108 (VX-689),1.0,observed,4
leave_drug_out,K562,Meprednisone,1.0,observed,0
leave_drug_out,K562,Meprednisone,1.0,observed,3
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,observed,0
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,observed,4
leave_drug_out,K562,Mocetinostat (MGCD0103),1.0,observed,1
leave_drug_out,K562,Motesanib Diphosphate (AMG-706),1.0,observed,4
leave_drug_out,K562,NVP-BSK805 2HCl,1.0,observed,4
leave_drug_out,K562,Navitoclax (ABT-263),1.0,observed,2
leave_drug_out,K562,Nilotinib (AMN-107),1.0,observed,4
leave_drug_out,K562,Obatoclax Mesylate (GX15-070),1.0,observed,2
leave_drug_out,K562,Ofloxacin,1.0,observed,0
leave_drug_out,K562,Ofloxacin,1.0,observed,1
leave_drug_out,K562,Ofloxacin,1.0,observed,3
leave_drug_out,K562,Ofloxacin,1.0,observed,4
leave_drug_out,K562,PD173074,1.0,observed,2
leave_drug_out,K562,PD173074,1.0,observed,3
leave_drug_out,K562,PD98059,1.0,observed,2
leave_drug_out,K562,PF-3845,1.0,observed,2
leave_drug_out,K562,PF-573228,1.0,observed,0
leave_drug_out,K562,PF-573228,1.0,observed,3
leave_drug_out,K562,PFI-1 (PF-6405761),1.0,observed,3
leave_drug_out,K562,PHA-680632,1.0,observed,3
leave_drug_out,K562,Panobinostat (LBH589),1.0,observed,3
leave_drug_out,K562,"Patupilone (EPO906, Epothilone B)",1.0,observed,2
leave_drug_out,K562,Pelitinib (EKB-569),1.0,observed,2
leave_drug_out,K562,Pirarubicin,1.0,observed,0
leave_drug_out,K562,Pracinostat (SB939),1.0,observed,1
leave_drug_out,K562,Prednisone,1.0,observed,0
leave_drug_out,K562,Prednisone,1.0,observed,1
leave_drug_out,K562,Quercetin,1.0,observed,0
leave_drug_out,K562,Quercetin,1.0,observed,2
leave_drug_out,K562,Quercetin,1.0,observed,3
leave_drug_out,K562,Quercetin,1.0,observed,4
leave_drug_out,K562,RG108,1.0,observed,3
leave_drug_out,K562,Raltitrexed,1.0,observed,4
leave_drug_out,K562,Ramelteon,1.0,observed,4
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,observed,1
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,observed,3
leave_drug_out,K562,Resminostat,1.0,observed,0
leave_drug_out,K562,Resminostat,1.0,observed,3
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,observed,0
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,observed,1
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,observed,4
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,observed,1
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,observed,4
leave_drug_out,K562,S-Ruxolitinib (INCB018424),1.0,observed,3
leave_drug_out,K562,S3I-201,1.0,observed,1
leave_drug_out,K562,S3I-201,1.0,observed,2
leave_drug_out,K562,S3I-201,1.0,observed,4
leave_drug_out,K562,SB431542,1.0,observed,1
leave_drug_out,K562,SB431542,1.0,observed,4
leave_drug_out,K562,SL-327,1.0,observed,0
leave_drug_out,K562,SL-327,1.0,observed,1
leave_drug_out,K562,SNS-314,1.0,observed,1
leave_drug_out,K562,SRT2104 (GSK2245840),1.0,observed,0
leave_drug_out,K562,SRT3025 HCl,1.0,observed,4
leave_drug_out,K562,Selisistat (EX 527),1.0,observed,0
leave_drug_out,K562,Selisistat (EX 527),1.0,observed,3
leave_drug_out,K562,Sirtinol,1.0,observed,3
leave_drug_out,K562,Sodium Phenylbutyrate,1.0,observed,4
leave_drug_out,K562,Sorafenib Tosylate,1.0,observed,4
leave_drug_out,K562,Streptozotocin (STZ),1.0,observed,4
leave_drug_out,K562,TG101209,1.0,observed,0
leave_drug_out,K562,TGX-221,1.0,observed,0
leave_drug_out,K562,TGX-221,1.0,observed,2
leave_drug_out,K562,TMP195,1.0,observed,2
leave_drug_out,K562,Tazemetostat (EPZ-6438),1.0,observed,3
leave_drug_out,K562,"Temsirolimus (CCI-779, NSC 683864)",1.0,observed,1
leave_drug_out,K562,Thiotepa,1.0,observed,2
leave_drug_out,K562,Tie2 kinase inhibitor,1.0,observed,4
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,observed,1
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,observed,2
leave_drug_out,K562,"Tozasertib (VX-680, MK-0457)",1.0,observed,2
leave_drug_out,K562,Trametinib (GSK1120212),1.0,observed,4
leave_drug_out,K562,Triamcinolone Acetonide,1.0,observed,2
leave_drug_out,K562,Triamcinolone Acetonide,1.0,observed,3
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,observed,1
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,observed,4
leave_drug_out,K562,UNC0379,1.0,observed,1
leave_drug_out,K562,UNC0379,1.0,observed,2
leave_drug_out,K562,UNC0379,1.0,observed,4
leave_drug_out,K562,UNC0631,1.0,observed,2
leave_drug_out,K562,UNC1999,1.0,observed,1
leave_drug_out,K562,UNC1999,1.0,observed,2
leave_drug_out,K562,Veliparib (ABT-888),1.0,observed,0
leave_drug_out,K562,WHI-P154,1.0,observed,1
leave_drug_out,K562,WP1066,1.0,observed,2
leave_drug_out,K562,WP1066,1.0,observed,4
leave_drug_out,K562,XAV-939,1.0,observed,3
leave_drug_out,K562,Zileuton,1.0,observed,1
leave_drug_out,MCF7,(+)-JQ1,1.0,observed,0
leave_drug_out,MCF7,A-366,1.0,observed,0
leave_drug_out,MCF7,AC480 (BMS-599626),1.0,observed,0
leave_drug_out,MCF7,AC480 (BMS-599626),1.0,observed,1
leave_drug_out,MCF7,AG-14361,1.0,observed,0
leave_drug_out,MCF7,AG-14361,1.0,observed,1
leave_drug_out,MCF7,AG-14361,1.0,observed,3
leave_drug_out,MCF7,AG-490 (Tyrphostin B42),1.0,observed,0
leave_drug_out,MCF7,AG-490 (Tyrphostin B42),1.0,observed,3
leave_drug_out,MCF7,AICAR (Acadesine),1.0,observed,2
leave_drug_out,MCF7,AR-42,1.0,observed,2
leave_drug_out,MCF7,AT9283,1.0,observed,4
leave_drug_out,MCF7,AZ 960,1.0,observed,0
leave_drug_out,MCF7,AZD1480,1.0,observed,3
leave_drug_out,MCF7,AZD1480,1.0,observed,4
leave_drug_out,MCF7,Alendronate sodium trihydrate,1.0,observed,0
leave_drug_out,MCF7,Alendronate sodium trihydrate,1.0,observed,1
leave_drug_out,MCF7,Alendronate sodium trihydrate,1.0,observed,2
leave_drug_out,MCF7,Alendronate sodium trihydrate,1.0,observed,3
leave_drug_out,MCF7,Altretamine,1.0,observed,0
leave_drug_out,MCF7,Altretamine,1.0,observed,2
leave_drug_out,MCF7,Amisulpride,1.0,observed,3
leave_drug_out,MCF7,Andarine,1.0,observed,1
leave_drug_out,MCF7,Aurora A Inhibitor I,1.0,observed,1
leave_drug_out,MCF7,Azacitidine,1.0,observed,1
leave_drug_out,MCF7,Azacitidine,1.0,observed,4
leave_drug_out,MCF7,BMS-265246,1.0,observed,2
leave_drug_out,MCF7,BMS-536924,1.0,observed,3
leave_drug_out,MCF7,BMS-754807,1.0,observed,0
leave_drug_out,MCF7,BMS-754807,1.0,observed,3
leave_drug_out,MCF7,BMS-911543,1.0,observed,4
leave_drug_out,MCF7,Barasertib (AZD1152-HQPA),1.0,observed,2
leave_drug_out,MCF7,Barasertib (AZD1152-HQPA),1.0,observed,3
leave_drug_out,MCF7,"Baricitinib (LY3009104, INCB028050)",1.0,observed,0
leave_drug_out,MCF7,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,2
leave_drug_out,MCF7,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,observed,4
leave_drug_out,MCF7,Busulfan,1.0,observed,2
leave_drug_out,MCF7,Busulfan,1.0,observed,3
leave_drug_out,MCF7,CEP-33779,1.0,observed,4
leave_drug_out,MCF7,CUDC-101,1.0,observed,1
leave_drug_out,MCF7,CYC116,1.0,observed,1
leave_drug_out,MCF7,CYC116,1.0,observed,2
leave_drug_out,MCF7,Carmofur,1.0,observed,0
leave_drug_out,MCF7,Carmofur,1.0,observed,1
leave_drug_out,MCF7,Celecoxib,1.0,observed,1
leave_drug_out,MCF7,Celecoxib,1.0,observed,3
leave_drug_out,MCF7,"Cerdulatinib (PRT062070, PRT2070)",1.0,observed,2
leave_drug_out,MCF7,Cimetidine,1.0,observed,2
leave_drug_out,MCF7,Cimetidine,1.0,observed,4
leave_drug_out,MCF7,Clevudine,1.0,observed,0
leave_drug_out,MCF7,Costunolide,1.0,observed,0
leave_drug_out,MCF7,Curcumin,1.0,observed,1
leave_drug_out,MCF7,Dacinostat (LAQ824),1.0,observed,2
leave_drug_out,MCF7,Dacinostat (LAQ824),1.0,observed,3
leave_drug_out,MCF7,Danusertib (PHA-739358),1.0,observed,2
leave_drug_out,MCF7,Danusertib (PHA-739358),1.0,observed,3
leave_drug_out,MCF7,Daphnetin,1.0,observed,1
leave_drug_out,MCF7,Decitabine,1.0,observed,0
leave_drug_out,MCF7,Decitabine,1.0,observed,3
