pair,drug,cross_cos,rel_a,rel_b
A549+MCF7,Triamcinolone Acetonide,0.1236989796161651,0.9564338326454164,0.8306744694709778
A549+MCF7,Alvespimycin (17-DMAG) HCl,0.1263496130704879,0.8967240214347839,0.881970489025116
A549+MCF7,Tanespimycin (17-AAG),0.1305364221334457,0.8514169692993164,0.9102001309394836
A549+MCF7,Pelitinib (EKB-569),0.1319482177495956,0.6389995574951172,0.7025298476219177
A549+MCF7,"Luminespib (AUY-922, NVP-AUY922)",0.1398040950298309,0.6307949423789978,0.9291770815849304
A549+MCF7,TG101209,0.1403027325868606,0.5663489580154419,0.8363646030426025
A549+MCF7,Dasatinib,0.1488057374954223,0.7076710939407349,0.8616959095001221
A549+MCF7,ENMD-2076 L-(+)-Tartaric acid,0.1512321829795837,0.7763736844062805,0.7102151393890381
A549+MCF7,"Temsirolimus (CCI-779, NSC 683864)",0.1530576199293136,0.711510705947876,0.7600319981575012
A549+MCF7,SL-327,0.16035096347332,0.6345738053321839,0.6321358203887939
A549+MCF7,Tacedinaline (CI994),0.1606687754392624,0.6084110498428345,0.7265275835990905
A549+MCF7,CYC116,0.1706005930900573,0.6616915583610534,0.6742966175079346
A549+MCF7,ZM 447439,0.1716629415750503,0.6882893562316894,0.5042127966880798
A549+MCF7,"Fedratinib (SAR302503, TG101348)",0.1726880073547363,0.6252493143081665,0.834666085243225
A549+MCF7,BMS-754807,0.1834648549556732,0.6767746567726135,0.7190733671188354
A549+MCF7,Mocetinostat (MGCD0103),0.1985381543636322,0.8588431000709533,0.9299304485321044
A549+MCF7,ENMD-2076,0.2036871612071991,0.697540009021759,0.7124212741851806
A549+MCF7,AT9283,0.2060359567403793,0.8633650660514831,0.568339055776596
A549+MCF7,UNC0379,0.2202813774347305,0.8343823671340942,0.6683817982673645
A549+MCF7,Entinostat (MS-275),0.2430031150579452,0.8067126512527466,0.8930858016014099
A549+MCF7,Danusertib (PHA-739358),0.2497221082448959,0.7609608769416809,0.7054591655731202
A549+MCF7,TAK-901,0.2500836551189422,0.8570803999900818,0.8192099690437317
A549+MCF7,AZD1480,0.2572680115699768,0.6845252633094787,0.5472753584384918
A549+MCF7,Pirarubicin,0.2669324874877929,0.7581761479377747,0.5777384757995605
A549+MCF7,Hesperadin,0.2703863382339477,0.8603965640068054,0.8441884398460389
A549+MCF7,"Tozasertib (VX-680, MK-0457)",0.2808139622211456,0.7985801815986633,0.5797309517860413
A549+MCF7,PHA-680632,0.2808354496955871,0.6587064146995545,0.617135202884674
A549+MCF7,CUDC-101,0.295166552066803,0.7937280297279358,0.6999743938446045
A549+MCF7,Belinostat (PXD101),0.3156526386737823,0.9196054577827454,0.9445055842399596
A549+MCF7,M344,0.3201650977134704,0.899487566947937,0.8588733673095703
A549+MCF7,Barasertib (AZD1152-HQPA),0.3328754305839538,0.8775833964347839,0.6075543284416198
A549+MCF7,GSK1070916,0.3341646790504455,0.9089707374572754,0.7270244240760804
A549+MCF7,Resminostat,0.3373744487762451,0.8553462266921997,0.8481576800346374
A549+MCF7,CUDC-907,0.3379167318344116,0.9653096079826357,0.9667716503143312
A549+MCF7,MLN8054,0.3417552709579468,0.8547059178352356,0.6750051856040955
A549+MCF7,SNS-314,0.3469347059726715,0.8783696293830872,0.7056907296180726
A549+MCF7,Abexinostat (PCI-24781),0.3469832241535187,0.9649255275726318,0.9722299933433532
A549+MCF7,Pracinostat (SB939),0.3747966587543487,0.9573850393295288,0.9606735348701476
A549+MCF7,AMG-900,0.3779240250587463,0.9065433263778686,0.6734260320663452
A549+MCF7,AR-42,0.3804281055927276,0.9637021899223328,0.9631173253059389
A549+MCF7,Raltitrexed,0.3911305069923401,0.8947332978248597,0.8639200091361999
A549+MCF7,Alisertib (MLN8237),0.4038758277893066,0.8705928206443787,0.6762181282043457
A549+MCF7,Dacinostat (LAQ824),0.405804842710495,0.9846012711524964,0.9873422622680664
A549+MCF7,Givinostat (ITF2357),0.4193837344646454,0.9447972536087036,0.9503473162651062
A549+MCF7,Panobinostat (LBH589),0.4591508507728576,0.9881668210029602,0.9909706950187684
A549+MCF7,Quisinostat (JNJ-26481585) 2HCl,0.4668087959289551,0.9916547298431396,0.9930693626403808
A549+MCF7,Trichostatin A (TSA),0.5328618288040161,0.9099850177764892,0.9500291228294372
K562+MCF7,KW-2449,-0.017207158729434,0.5839106440544128,0.5060211420059204
K562+MCF7,Nilotinib (AMN-107),-0.0165484007447958,0.917271327972412,0.5361717283725739
K562+MCF7,"Patupilone (EPO906, Epothilone B)",0.0028098383918404,0.6303535580635071,0.8143697261810303
K562+MCF7,Epothilone A,0.0054143564775586,0.7221944570541382,0.7948190331459045
K562+MCF7,Tacedinaline (CI994),0.0064181545749306,0.6750243902206421,0.710528564453125
K562+MCF7,Bosutinib (SKI-606),0.0093746371567249,0.9014803409576416,0.6965191602706909
K562+MCF7,Rigosertib (ON-01910),0.0138199031352996,0.5256874740123749,0.7949010968208313
K562+MCF7,YM155 (Sepantronium Bromide),0.0140355434268713,0.8414813041687011,0.880290424823761
K562+MCF7,"Tozasertib (VX-680, MK-0457)",0.0148721365258097,0.8006595849990845,0.6119011521339417
K562+MCF7,Vandetanib (ZD6474),0.0203582011163234,0.6645284414291381,0.713934063911438
K562+MCF7,Dasatinib,0.0210181660950183,0.9481059312820436,0.8623575210571289
K562+MCF7,Trametinib (GSK1120212),0.0265788808465003,0.9389009833335876,0.9116031646728516
K562+MCF7,Danusertib (PHA-739358),0.028596306219697,0.8805216670036315,0.7078433990478515
K562+MCF7,PHA-680632,0.0320148840546608,0.7471171736717224,0.6372738957405091
K562+MCF7,Triamcinolone Acetonide,0.0448275618255138,0.5849423885345459,0.847307825088501
K562+MCF7,Alisertib (MLN8237),0.0461067222058773,0.7127954125404358,0.6731348752975463
K562+MCF7,Alvespimycin (17-DMAG) HCl,0.0554024912416935,0.8992524862289428,0.8833255171775818
K562+MCF7,ENMD-2076 L-(+)-Tartaric acid,0.0622691512107849,0.51984623670578,0.7008904576301574
K562+MCF7,Tanespimycin (17-AAG),0.0684236213564872,0.8026409268379211,0.9253137826919556
K562+MCF7,"Luminespib (AUY-922, NVP-AUY922)",0.0757620111107826,0.9098980188369752,0.9297672152519226
K562+MCF7,Tucidinostat (Chidamide),0.0811007842421531,0.7974443197250366,0.6615594863891602
K562+MCF7,Nintedanib (BIBF 1120),0.0856018215417862,0.725773012638092,0.6693984389305114
K562+MCF7,TAK-901,0.0889011770486831,0.7727283477783203,0.8527832746505737
K562+MCF7,TG101209,0.0927480161190033,0.6501689195632935,0.8445033311843873
K562+MCF7,AT9283,0.0960834920406341,0.7314863681793213,0.5425698518753052
K562+MCF7,Hesperadin,0.0998319908976554,0.7763832092285157,0.8522084593772888
K562+MCF7,"Fedratinib (SAR302503, TG101348)",0.11422710865736,0.5670599102973938,0.843087351322174
K562+MCF7,(+)-JQ1,0.1166733652353286,0.903569769859314,0.9635798573493958
K562+MCF7,Mocetinostat (MGCD0103),0.116983562707901,0.8683061838150025,0.9200048923492432
K562+MCF7,Flavopiridol HCl,0.121525764465332,0.7554545044898987,0.9385518908500672
K562+MCF7,PFI-1 (PF-6405761),0.132025808095932,0.7679928779602051,0.8933982729911805
K562+MCF7,Barasertib (AZD1152-HQPA),0.1347143948078155,0.7622191548347473,0.6234728693962097
K562+MCF7,Obatoclax Mesylate (GX15-070),0.1350436955690384,0.5670096039772033,0.7359469532966614
K562+MCF7,GSK1070916,0.1620529294013977,0.6121052742004395,0.6999982237815857
K562+MCF7,Resminostat,0.1769469529390335,0.7403205394744873,0.8472495079040527
K562+MCF7,Raltitrexed,0.1817364990711212,0.8137131094932556,0.870321786403656
K562+MCF7,Belinostat (PXD101),0.1953328102827072,0.8471985340118409,0.9417773962020874
K562+MCF7,Pracinostat (SB939),0.2008217424154281,0.9042022585868836,0.959858739376068
K562+MCF7,Abexinostat (PCI-24781),0.202449232339859,0.92425537109375,0.9697639465332032
K562+MCF7,SNS-314,0.2036101073026657,0.6605001330375672,0.7362127661705017
K562+MCF7,Entinostat (MS-275),0.2045715004205703,0.8456212162971497,0.8899562001228333
K562+MCF7,Trichostatin A (TSA),0.2059522271156311,0.592490041255951,0.9515898704528808
K562+MCF7,M344,0.2146251946687698,0.8164158344268799,0.859650194644928
K562+MCF7,Dacinostat (LAQ824),0.2194899320602417,0.969930636882782,0.987878394126892
K562+MCF7,CUDC-101,0.2201972305774688,0.7124311208724976,0.700617003440857
K562+MCF7,AR-42,0.2290321141481399,0.9123537302017212,0.9603326201438904
K562+MCF7,Givinostat (ITF2357),0.2311285883188247,0.854047667980194,0.9416959404945372
K562+MCF7,Quisinostat (JNJ-26481585) 2HCl,0.2329602986574173,0.978645670413971,0.9937113881111144
K562+MCF7,AMG-900,0.2378357499837875,0.7444444537162781,0.6649310827255249
K562+MCF7,Panobinostat (LBH589),0.2457707673311233,0.9671338319778442,0.9901548743247984
K562+MCF7,CUDC-907,0.2619500160217285,0.9340237021446228,0.9624644160270692
